X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.190239405076,47.6685544903481,477,2637,5250801,Everest Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,0
-122.192376922228,47.6720795857525,478,2637,5250801,Everest Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1
-122.151798725563,47.3703667447499,479,2322,5222701,East Ridge Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.236004683757,47.706166154495,480,5121,4262503,Juanita Woodlands Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.238060509417,47.7058390603491,481,5121,4262503,Juanita Woodlands Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.262835672083,47.5229230108443,482,7076,4243504,Atlantic City Boat Ramp,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.195719307989,47.6921931684628,483,2698,5263202,Crestwoods Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1
-122.055384705495,47.6473060848973,484,5094,6252102,Evans Creek Preserve,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,0
-122.04565846154,47.6421580479615,485,5094,6252102,Evans Creek Preserve,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,1
-122.364020754878,47.7152107029524,486,7083,3262503,Pipers Creek Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.217513692062,47.6146814727944,487,2607,5253101,Clyde Beach Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.312406446898,47.611801193944,488,7032,4253304,Spring Street Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.409994439425,47.5685170912766,489,7059,3241504,Andover Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.397063010138,47.5795656007879,490,7183,3241106,Nantes Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.106477737239,47.5709202966987,491,2630,5241301,Sunrise Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-121.858438932544,47.5297115891828,492,5078,7242501,Fisher Creek Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1
-122.344044513245,47.5606317917978,493,7443,4241903,Terminal 108 Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,1
-121.765821948658,47.4715678761588,494,15356,8231501,South Fork Landing,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,0
-121.762481692221,47.4705630579803,495,15356,8231501,South Fork Landing,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,1
-122.336269785657,47.4500321131802,496,8105,4233002,Wilson Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
-122.156193343354,47.5236186563028,497,5112,5243404,Heritage Morgan Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,1
-122.148134127407,47.7633517156583,498,7861,5260304,Greenbrier Park,Park Site,City of Woodinville,City,City of Woodinville,City,City of Woodinville,City,1
-122.158666273017,47.5531899172266,499,5054,5242208,Westwood Highlands Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.214967547012,47.3855229266168,500,7292,5221904,Walnut Grove Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.241576812364,47.47296887809,501,4829,4232402,Waterworks Gardens,Park Site,Other King County,County,Other King County,County,Other King County,County,1
-122.146895698924,47.3453120762932,502,7302,5223402,Service Club Community Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.272196755754,47.4060490983351,503,2546,4221001,Van Dorens Landing Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.301260471389,47.3493244791392,504,6916,4223301,Heritage Woods Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-121.853379549121,47.5689195943929,505,7796,7241301,Tokul Creek Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-121.840450462197,47.5610322435058,506,7796,7241301,Tokul Creek Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
